id,campus,building,device_name,device_ip,vms_id,grp_serial,dev_serial,dch_ch,vms_ip,vms_ch,geo_pos,layer,floor
(1459, None, None, '5F 사무실1_15.33', '10.236.15.33', 100371, 1, 1195, 0, '10.236.1.105', '65', None, None, None)
(1460, None, None, '5F EPS11_15.34', '10.236.15.34', 100371, 1, 1196, 0, '10.236.1.105', '66', None, None, None)
(1461, None, None, '5F 사무실1_15.35', '10.236.15.35', 100371, 1, 1197, 0, '10.236.1.105', '67', None, None, None)
(1462, None, None, '5F EPS12_15.36', '10.236.15.36', 100371, 1, 1198, 0, '10.236.1.105', '68', None, None, None)
(1463, None, None, '5F 사무실1_15.37', '10.236.15.37', 100371, 1, 1199, 0, '10.236.1.105', '69', None, None, None)
(1464, None, None, '5F 복도3_15.38', '10.236.15.38', 100371, 1, 1200, 0, '10.236.1.105', '70', None, None, None)
(1465, None, None, '5F EPS5_15.39', '10.236.15.39', 100371, 1, 1201, 0, '10.236.1.105', '71', None, None, None)
(1466, None, None, '5F EPS13_15.42', '10.236.15.42', 100371, 1, 1202, 0, '10.236.1.105', '72', None, None, None)
(1467, None, None, '5F 사무실2_15.43', '10.236.15.43', 100371, 1, 1203, 0, '10.236.1.105', '73', None, None, None)
(1468, None, None, '5F 사무실2_15.44', '10.236.15.44', 100371, 1, 1204, 0, '10.236.1.105', '74', None, None, None)
(1469, None, None, '5F 사무실2_15.45', '10.236.15.45', 100371, 1, 1205, 0, '10.236.1.105', '75', None, None, None)
(1470, None, None, '5F EPS14_15.46', '10.236.15.46', 100371, 1, 1206, 0, '10.236.1.105', '76', None, None, None)
(1471, None, None, '5F CORE#6 홀_15.49', '10.236.15.49', 100371, 1, 1207, 0, '10.236.1.105', '77', None, None, None)
(1472, None, None, '5F CORE#4 홀_15.31', '10.236.15.31', 100371, 1, 1208, 0, '10.236.1.105', '78', None, None, None)
(1473, None, None, '5F CORE#5 홀_15.40', '10.236.15.40', 100371, 1, 1209, 0, '10.236.1.105', '79', None, None, None)
(1474, None, None, '5F CORE#5 E/V전실_15.41', '10.236.15.41', 100371, 1, 1210, 0, '10.236.1.105', '80', None, None, None)
(1475, None, None, '5F CORE#6 E/V전실_15.48', '10.236.15.48', 100371, 1, 1211, 0, '10.236.1.105', '81', None, None, None)
(1476, None, None, '5F CORE#6 계단실_15.47', '10.236.15.47', 100371, 1, 1212, 0, '10.236.1.105', '82', None, None, None)
(1513, None, None, 'M15 FAB 2F 복도-2_10.236.12.55', '10.236.12.55', 100371, 1, 1213, 0, '10.236.1.105', '119', None, None, None)
(1514, None, None, 'M15 FAB 2F 복도-2_10.236.12.56', '10.236.12.56', 100371, 1, 1214, 0, '10.236.1.105', '120', None, None, None)
(1515, None, None, 'M15 FAB 2F CORE #3 홀_10.236.12.59', '10.236.12.59', 100371, 1, 1215, 0, '10.236.1.105', '121', None, None, None)
(1516, None, None, 'M15 FAB 2F A/L-3_10.236.12.61', '10.236.12.61', 100371, 1, 1216, 0, '10.236.1.105', '122', None, None, None)
(1517, None, None, 'M15 FAB 2F 복도-3_10.236.12.73', '10.236.12.73', 100371, 1, 1217, 0, '10.236.1.105', '123', None, None, None)
(1518, None, None, 'M15 FAB 2F CORE #1 홀_10.236.12.83', '10.236.12.83', 100371, 1, 1218, 0, '10.236.1.105', '124', None, None, None)
(1519, None, None, 'M15 FAB 2F CORE #1 홀_10.236.12.88', '10.236.12.88', 100371, 1, 1219, 0, '10.236.1.105', '125', None, None, None)
(1520, None, None, 'M15 FAB 2F CORE #1 홀_10.236.12.93', '10.236.12.93', 100371, 1, 1220, 0, '10.236.1.105', '126', None, None, None)
(1521, None, None, 'M15 FAB 2F CORE #4 홀_10.236.12.104', '10.236.12.104', 100371, 1, 1221, 0, '10.236.1.105', '127', None, None, None)
(1522, None, None, 'M15 FAB 2F 복도-3_10.236.12.105', '10.236.12.105', 100371, 1, 1222, 0, '10.236.1.105', '128', None, None, None)
(1523, None, None, 'M15 FAB 2F CORE #6 홀_10.236.12.106', '10.236.12.106', 100371, 1, 1223, 0, '10.236.1.105', '129', None, None, None)
(1524, None, None, 'M15 FAB 2F CORE #6 홀_10.236.12.107', '10.236.12.107', 100371, 1, 1224, 0, '10.236.1.105', '130', None, None, None)
(1525, None, None, 'M15 FAB 2F CORE #6 홀_10.236.12.108', '10.236.12.108', 100371, 1, 1225, 0, '10.236.1.105', '131', None, None, None)
(1526, None, None, 'M15 FAB 2F 전기실-1_10.236.12.36', '10.236.12.36', 100371, 1, 1226, 0, '10.236.1.105', '132', None, None, None)
(1527, None, None, 'M15 FAB 2F Vender Smock RM-1_10.236.12.38', '10.236.12.38', 100371, 1, 1227, 0, '10.236.1.105', '133', None, None, None)
(1528, None, None, 'M15 FAB 2F FAB계단실701_10.236.12.39', '10.236.12.39', 100371, 1, 1228, 0, '10.236.1.105', '134', None, None, None)
(1529, None, None, 'M15 FAB 2F 전기실-1_10.236.12.40', '10.236.12.40', 100371, 1, 1229, 0, '10.236.1.105', '135', None, None, None)
(1530, None, None, 'M15 FAB 2F FAB계단실 201_10.236.12.44', '10.236.12.44', 100371, 1, 1230, 0, '10.236.1.105', '136', None, None, None)
(1531, None, None, 'M15 FAB 2F CORE 2번 A/L-2_10.236.12.45', '10.236.12.45', 100371, 1, 1231, 0, '10.236.1.105', '137', None, None, None)
(1532, None, None, 'M15 FAB 2F FAB계단실 801_10.236.12.51', '10.236.12.51', 100371, 1, 1232, 0, '10.236.1.105', '138', None, None, None)
(1533, None, None, 'M15 FAB 2F CORE 1번 A/L-1_10.236.13.32', '10.236.13.32', 100371, 1, 1233, 0, '10.236.1.105', '139', None, None, None)
(1534, None, None, 'M15 FAB 2F FAB계단실 101_10.236.13.34', '10.236.13.34', 100371, 1, 1234, 0, '10.236.1.105', '140', None, None, None)
(1535, None, None, 'M15 FAB 2F CORE 2번 A/L-2_10.236.13.42', '10.236.13.42', 100371, 1, 1235, 0, '10.236.1.105', '141', None, None, None)
(1536, None, None, 'M15 FAB 2F FAB계단실 701_10.236.13.36', '10.236.13.36', 100371, 1, 1236, 0, '10.236.1.105', '142', None, None, None)
(1537, None, None, 'M15 FAB 2F CORE 3번 A/L-3_10.236.13.44', '10.236.13.44', 100371, 1, 1237, 0, '10.236.1.105', '143', None, None, None)
(1538, None, None, 'M15 FAB 2F FAB계단실 901_10.236.13.46', '10.236.13.46', 100371, 1, 1238, 0, '10.236.1.105', '144', None, None, None)
(1539, None, None, 'M15 FAB 2F_10.236.12.101', '10.236.12.101', 100371, 1, 1239, 0, '10.236.1.105', '145', None, None, None)
(1540, None, None, 'M15 FAB 2F_10.236.12.102', '10.236.12.102', 100371, 1, 1240, 0, '10.236.1.105', '146', None, None, None)
(1541, None, None, 'M15 FAB 2F_10.236.13.101', '10.236.13.101', 100371, 1, 1241, 0, '10.236.1.105', '147', None, None, None)
(1542, None, None, 'M15 FAB 2F_10.236.13.102', '10.236.13.102', 100371, 1, 1242, 0, '10.236.1.105', '148', None, None, None)
(1543, None, None, 'M15 FAB 2F_10.236.13.103', '10.236.13.103', 100371, 1, 1243, 0, '10.236.1.105', '149', None, None, None)
(1544, None, None, '4캠퍼스 M15 보세창고 외곽_10.236.37.101', '10.236.37.101', 100371, 1, 1244, 0, '10.236.1.105', '150', None, None, None)
(1545, None, None, '4캠퍼스 M15 보세창고 내부_10.236.37.102', '10.236.37.102', 100371, 1, 1245, 0, '10.236.1.105', '151', None, None, None)
(1546, None, None, 'M15 FAB B1-1_19.101', '10.236.19.101', 100371, 1, 1246, 0, '10.236.1.105', '152', None, None, None)
(1547, None, None, 'M15 FAB B1-2_19.102', '10.236.19.102', 100371, 1, 1247, 0, '10.236.1.105', '153', None, None, None)
